                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0242,                0.55633,                 1.0605,                0.92295,                 0.9424,                0.97669,                0.65431,                 1.0981,                0.59138,                 1.0905,               0.006733,               0.006733,               0.006733
                     35,                0.97713,                0.58469,                 1.0526,                0.92773,                0.96413,                 0.9607,                0.63096,                 1.1205,                0.60159,                 1.1009,               0.006634,               0.006634,               0.006634
                     36,                0.96624,                 0.6292,                 1.0375,                0.92773,                0.96413,                 0.9607,                0.63096,                 1.1205,                0.60159,                 1.1009,               0.006535,               0.006535,               0.006535
                     37,                0.95425,                0.56876,                0.99318,                0.93009,                0.94382,                0.96431,                0.61296,                 1.1494,                0.57906,                 1.1322,               0.006436,               0.006436,               0.006436
                     38,                0.86668,                0.49666,                  1.009,                0.89662,                0.97304,                0.96401,                0.64294,                 1.1546,                0.65511,                 1.1393,               0.006337,               0.006337,               0.006337
                     39,                 1.0491,                0.59016,                 1.0351,                0.89435,                0.94769,                 0.9696,                0.57781,                  1.293,                0.65029,                 1.2012,               0.006238,               0.006238,               0.006238
                     40,                 1.0256,                 0.5612,                 1.0488,                0.89435,                0.94769,                 0.9696,                0.57781,                  1.293,                0.65029,                 1.2012,               0.006139,               0.006139,               0.006139
                     41,                0.92484,                0.54245,                 1.0111,                0.89617,                0.97095,                 0.9767,                0.59621,                  1.237,                0.59228,                 1.1764,                0.00604,                0.00604,                0.00604
                     42,                 0.9468,                0.54601,                 1.0403,                0.91088,                0.96853,                0.98154,                0.64499,                 1.1929,                0.64092,                 1.1761,               0.005941,               0.005941,               0.005941
                     43,                0.92874,                 0.5483,                0.99413,                0.92266,                  0.975,                0.97427,                 0.5876,                 1.2812,                0.69244,                 1.2181,               0.005842,               0.005842,               0.005842
                     44,                0.87021,                0.53059,                 1.0467,                0.92266,                  0.975,                0.97427,                 0.5876,                 1.2812,                0.69244,                 1.2181,               0.005743,               0.005743,               0.005743
                     45,                0.93788,                0.52698,                 1.0391,                0.91169,                  0.975,                0.97685,                0.56342,                 1.3854,                 0.6849,                  1.283,               0.005644,               0.005644,               0.005644
                     46,                0.91358,                0.51066,                 1.0085,                0.91723,                  0.975,                0.97762,                0.63303,                 1.2625,                0.63202,                 1.1962,               0.005545,               0.005545,               0.005545
                     47,                0.95123,                0.53805,                 1.0256,                0.91934,                  0.975,                0.97308,                0.59404,                 1.3372,                0.62314,                 1.2533,               0.005446,               0.005446,               0.005446
                     48,                0.87547,                0.48293,                0.99736,                0.91934,                  0.975,                0.97308,                0.59404,                 1.3372,                0.62314,                 1.2533,               0.005347,               0.005347,               0.005347
                     49,                0.89519,                0.48686,                0.98542,                0.93685,                 0.9961,                0.97952,                0.64773,                 1.2165,                0.60983,                 1.1917,               0.005248,               0.005248,               0.005248
                     50,                0.89836,                0.54292,                 1.0382,                0.93734,                 0.9954,                0.97833,                0.64396,                 1.2828,                 0.6702,                 1.2343,               0.005149,               0.005149,               0.005149
                     51,                0.85014,                0.48663,                 1.0025,                0.93869,                0.99762,                0.97357,                0.63612,                 1.2878,                0.54655,                 1.2364,                0.00505,                0.00505,                0.00505
                     52,                 0.8064,                 0.4903,                0.97386,                0.93869,                0.99762,                0.97357,                0.63612,                 1.2878,                0.54655,                 1.2364,               0.004951,               0.004951,               0.004951
                     53,                0.78201,                0.48473,                0.98413,                0.94157,                  0.975,                0.96916,                0.58671,                  1.345,                0.59419,                 1.2686,               0.004852,               0.004852,               0.004852
                     54,                0.88266,                 0.4864,                0.97994,                0.93466,                      1,                   0.97,                0.61988,                 1.2928,                0.56062,                 1.2636,               0.004753,               0.004753,               0.004753
                     55,                0.93057,                0.50466,                0.97955,                0.93306,                      1,                0.97238,                0.59065,                 1.3708,                0.58868,                 1.3293,               0.004654,               0.004654,               0.004654
                     56,                0.82638,                  0.485,                0.96707,                0.93306,                      1,                0.97238,                0.59065,                 1.3708,                0.58868,                 1.3293,               0.004555,               0.004555,               0.004555
                     57,                0.85689,                0.46709,                 1.0001,                0.93809,                0.97044,                0.97398,                0.60871,                 1.3656,                0.54192,                 1.3164,               0.004456,               0.004456,               0.004456
                     58,                0.84182,                0.47422,                0.99176,                 0.9361,                      1,                0.97476,                0.56756,                 1.4634,                0.61965,                  1.392,               0.004357,               0.004357,               0.004357
                     59,                0.87317,                0.45976,                 1.0186,                0.93638,                      1,                0.97357,                0.60293,                 1.4061,                 0.5798,                 1.3619,               0.004258,               0.004258,               0.004258
                     60,                0.91415,                0.47738,                0.97131,                0.93638,                      1,                0.97357,                0.60293,                 1.4061,                 0.5798,                 1.3619,               0.004159,               0.004159,               0.004159
                     61,                 0.8511,                0.45358,                0.98667,                0.93442,                0.99544,                0.96762,                0.60044,                 1.4367,                0.60926,                 1.3918,                0.00406,                0.00406,                0.00406
                     62,                0.76868,                0.43269,                 0.9602,                0.93404,                0.97307,                0.96591,                0.58522,                 1.4709,                0.63497,                 1.4415,               0.003961,               0.003961,               0.003961
                     63,                0.76022,                0.44952,                 0.9485,                0.92975,                  0.975,                0.96542,                0.58946,                 1.4748,                0.63322,                 1.4718,               0.003862,               0.003862,               0.003862
                     64,                0.80871,                0.45759,                0.94862,                0.92975,                  0.975,                0.96542,                0.58946,                 1.4748,                0.63322,                 1.4718,               0.003763,               0.003763,               0.003763
                     65,                0.82165,                0.43924,                0.96822,                0.93565,                  0.975,                0.96114,                0.56224,                 1.4742,                 0.6042,                 1.4706,               0.003664,               0.003664,               0.003664
                     66,                0.82809,                0.44195,                0.96956,                0.91459,                   0.95,                0.94244,                0.56714,                 1.4609,                0.62715,                 1.4532,               0.003565,               0.003565,               0.003565
                     67,                0.73685,                0.40647,                0.95828,                0.91162,                   0.95,                0.95439,                 0.5874,                 1.4278,                0.58936,                 1.4371,               0.003466,               0.003466,               0.003466
